Country,Forecast_GDP_1,Forecast_GDP_2,Forecast_GDP_3,Forecast_GDP_4,Forecast_GDP_5
Georgia,17594985535.858715,19529209927.8029,21668891207.461487,24035853384.957146,26654238657.079983
Germany,3857405236887.5645,3867858064443.839,3877798792298.66,3887252508984.5635,3896243073909.242
Ghana,75025216659.39249,82630426725.46205,90993241714.43883,100150046189.45085,110173239108.6177
Greece,194715334003.11423,201910533726.86258,208478067205.22577,213722520623.4329,217548816032.078
Grenada,1068761993.797857,1115447597.074434,1295155999.6676278,1318530309.0962367,1332639072.170525
Guatemala,83873559666.88887,90645379390.88072,97960433265.93106,105862299437.19202,114398051880.72255
Guinea,15600638491.817783,16613389677.741928,18236884317.034775,19680369794.650974,20824459796.2181
Guinea-Bissau,1483309555.3294344,1535588306.3146694,1588604760.7166042,1642369328.2393875,1696892565.4780972
Guyana,5827301641.728066,6223673200.533574,6646979718.347895,7091726623.530432,7558150752.610614
Haiti,15547149889.666698,16491140842.69198,17428154090.93098,18405019534.15018,19413399318.969376
Honduras,25429098717.375286,26246575948.012535,27801189665.717415,30076488067.522423,32055575616.84072
Hong Kong,361675386573.83075,379190838507.4318,394406940562.21936,408541934780.7685,423253499549.46906
Hungary,157333287308.865,158796073746.658,160199321712.4155,161545454546.6613,162836796954.8838
Iceland,20778727072.350353,19124428007.40148,18313648347.817696,17630943864.522137,16934806990.61404
India,2896724210950.4004,3152819229228.1416,3430157466038.067,3730501057702.237,4055758310691.6865
Indonesia,1196574523602.9517,1352860012745.0417,1529660830423.2246,1729669988683.9426,1955934006653.4558
Iran,207800155904.6676,172539609889.81732,166488205239.16028,193977598263.98828,187491322197.9021
Iraq,195661190307.1963,229136305828.2634,267905174365.6161,312804949744.15436,364805173250.8282
Ireland,408034102837.431,371320188191.14954,364653257043.5918,369972937977.95483,379263274084.4429
Israel,433770141220.3498,462352214106.39166,492984127413.44116,525812890974.14233,560996057827.6604
Italy,1904778991040.1238,1923507869186.4446,1941291973122.167,1957305684176.0654,1971493791734.7598
Jamaica,14054572190.070152,14278358349.556097,14485175751.524147,14676311065.053223,14852953396.55056
Japan,5030908322574.359,4999872589199.152,4977082089427.994,4965861111139.342,4963995558248.3125
Jordan,44739058129.23165,46355336587.80138,48570992046.9633,51205583746.31987,54244803719.84941
Kazakhstan,196914195440.3033,226528389431.63782,260478789546.8707,299400317119.8204,344020860720.78314
Kenya,131331665761.51709,167015920402.67737,185628463778.52344,221435265660.9646,245795398847.3128
Kiribati,213458792.63924652,230740173.51594988,249464047.0242422,269750819.34040266,291730947.054119
Kuwait,136903453684.44681,154891927626.47192,161524610143.2193,173122436411.47256,191358189201.2913
Kyrgyzstan,9112534208.720364,9141453085.120441,8707966451.087166,9820981287.061752,10817148663.367393
Laos,17437317762.923576,15261639401.755219,11598449448.421776,6553803587.301615,-425932223.46266747
Latvia,34073105473.70843,34424701406.81487,34762658993.81168,35087507263.811806,35399754724.97938
Lebanon,34436581057.46884,37324755066.30643,40412658566.339905,43714103699.61172,47243857776.41042
Lesotho,1922376310.5769656,1981932083.7686455,2043649649.7563038,2104542684.8749833,2163774763.654434
Lithuania,58059953878.470146,59562827659.830124,61055646544.43039,62538477804.02064,64011388260.27252
Luxembourg,74731317750.90878,76421557450.51537,78170141822.64632,79916836939.24368,81647483139.92415
Madagascar,13565385380.08218,14083223932.71034,14609738608.978148,15145074772.959072,15689380224.228283
Malawi,12377270654.496752,12795988995.721584,13348360970.414366,13779504172.39075,14178262647.99858
Malaysia,369226317410.8847,404511671452.37177,443153710844.90137,485471756078.57416,531815504507.7884
Maldives,3702429946.2954044,4048165653.04928,4294287291.658516,4631120861.782308,4945217559.6279335
Mali,17967303220.57645,18322219794.206158,18578692275.261646,19246759333.06474,19695270088.62931
Malta,15263573713.801773,15382033364.253586,15327104406.029716,16253876267.988068,17993132632.19294
Mauritania,8607885261.651089,9367596983.355953,10198996749.65617,11108849199.810394,12104557299.098837
Mauritius,12660695667.307295,11874058961.376041,10018099086.932999,11463798764.288252,12964626486.371319
Mexico,1100093379000.2158,1125058165019.853,1148866419604.5793,1171571720820.6714,1193225164649.527
Moldova,12286315164.188433,10590715029.793518,9381264615.27538,8345641992.647645,6173985662.993031
Mongolia,16598802065.258488,20734189851.69112,25938805349.326176,32489103381.131874,40733017715.43265
Morocco,117158905801.78012,120109413928.98514,123156928928.91846,126209672690.42674,129247656956.70879
Mozambique,16731373937.3412,17487861000.8366,15932745387.936012,17580414152.316303,21089676404.39003
Myanmar,97112626345.6323,118089148067.51695,143581597933.78714,174562187032.4221,212212428807.27774
Namibia,11221905082.234585,11997725140.838146,12850056237.61005,13758848352.6981,14721743714.32576
Nepal,38249693744.7066,43496045778.12032,49489317564.8553,56335847588.17539,64157113672.58235
Netherlands,912181669917.0566,910181166780.0603,908227420069.8115,906408834965.1809,904739090632.3777
New Zealand,220479097433.38086,231433832807.1242,242820031616.4601,254582936379.84558,266728751186.72556
Nicaragua,13000959504.79676,13340633145.941952,13677833667.592686,14009346395.979195,14335551644.691723
Niger,13619106547.585875,14448830378.540573,14371156524.090584,14129890282.284061,14108987074.345112
Nigeria,488311571747.7261,536523548563.44727,598797236540.3152,663134892759.0133,735693324017.7439
North Macedonia,12504595968.482132,12740967516.507635,12972909366.596518,13200504533.070824,13423834474.530792
Norway,385809680422.7571,410421943250.0827,436077535748.39453,462820685334.3262,490697494253.18384
Oman,83653019225.74156,94612156896.60962,107017374373.14523,121059484734.54881,136954479221.73164
Pakistan,274052793898.99133,271342264169.66788,258611938371.5171,262184369197.16006,246208243570.1038
Panama,74760429145.01797,86661719450.50266,81765198569.78395,90814588410.69678,121889362406.73526
Papua New Guinea,26416799524.123554,28415934321.242107,30455577453.56218,32476913181.42022,35021007378.975365
Paraguay,35310276864.99977,34899261736.17357,36065210346.948586,37043072743.88288,37931509221.241486
Peru,232854160787.87363,267593557723.52902,308296683753.48816,355916287404.3032,411630739965.18384
Philippines,407323827131.4522,459740143301.5008,519683419368.72174,588234523456.5033,666629535874.311
Poland,608770800494.0309,615432481218.1295,620886051492.2244,631862733412.698,640101831220.339
Portugal,231038581059.4136,233424866389.69763,235703214577.1628,237878507865.62637,239955407663.85217
Puerto Rico,104633504640.84628,104006800937.1187,103466162951.32022,104222720855.11638,103850276593.96732
Republic of the Congo,11608961139.858171,13236979455.10568,15101075186.397415,17235481699.441944,19679396508.3504
Romania,251924453041.03543,255054634876.91745,258108028006.3646,261086516187.49222,263991936966.6119
Russia,1652027058656.0327,1838453224559.8164,2044676835166.5723,2272800271410.1523,2525149175643.1084
Rwanda,11416925141.17207,11309833348.682312,10404552972.97268,10325207079.621078,10780716851.328667
Saint Kitts and Nevis,965411478.2896814,1028747427.370244,1054450187.0080297,1095638315.3958764,1116163867.284139
Saint Lucia,1676819189.865162,1742487499.375534,1810255464.8175793,1879940620.400454,1951580896.903741
Saint Vincent and the Grenadines,819786802.9810445,834227945.3205407,846864246.6351278,857885769.4813774,868217554.7018838
Samoa,854942435.5865496,901733367.1449031,950047812.953001,999796287.0378542,1051028536.096232
Saudi Arabia,784885948104.1937,880571906200.7435,988581939376.125,1110503352910.7578,1248127892421.325
Senegal,25511533159.153503,26470276277.854942,27460190862.994,28477191986.266315,29521622752.673584
Seychelles,1589935128.673998,1944407855.0217655,1858522447.6458392,2130044467.5440903,2501355245.7645497
Sierra Leone,5808400924.379934,8127169022.954937,9447100865.023605,9194198999.950512,9049668124.103348
Singapore,548648310868.41815,643943066989.9786,636597029352.0297,590139198118.1589,840479179428.4734
Slovenia,54262120267.44884,54916680359.01181,55553768991.08176,56173852510.29476,56777384815.60416
Solomon Islands,1656512375.317936,1828744373.3069558,2044347504.5011573,2298211423.778984,2591042451.739142
South Africa,341846878031.1395,350310051250.9124,359261372003.1306,368140461755.84155,376754008405.0311
South Korea,1728762000281.067,1826167890475.4795,1886285067425.874,1938749941265.954,2008511692058.7437
Spain,1293773926445.3647,1299502719774.1318,1300181345525.3613,1298947710301.6235,1297367823713.2046
Sri Lanka,91592761900.27934,104050102779.8734,118266317966.04578,134489746077.4666,153003789107.88196
Sudan,23392839737.34509,25277479931.739708,26998571494.767918,28570307138.06846,30005647933.113003
Suriname,2252402922.3355584,2305072881.389907,1982489583.5587323,2086643583.229291,1968922385.590999
Sweden,537096648073.42444,533064640039.37445,538538625795.25165,541910718720.03326,538897886456.00214
Switzerland,761039089126.3458,801014718155.7177,828497244100.7844,843828630516.0242,887065503911.7135
Tajikistan,8053511146.146775,8072961572.486891,7509132906.390569,7077544723.4208765,6552934632.946982
Tanzania,69711093550.72345,77240526271.88788,84377705932.2609,92323684578.1044,101140182017.73727
Thailand,540707825423.4446,535322656001.8937,450191280194.4634,478799740748.52527,469178078884.0925
Togo,8304171224.811451,9930993845.11898,10737051097.582321,11435222314.442955,12489736230.4687
Tonga,532168339.5548936,580149891.6061189,633272079.771442,692085660.3004599,757200396.2348739
Trinidad and Tobago,21782828360.58937,20023762284.37353,18604632216.01251,18875652801.856,18238381497.420868
Tunisia,42401302147.41556,43237575970.130844,44079359285.5909,45046104188.08959,46103213884.00141
Turkmenistan,-1714096388.0787354,-10720302284.287354,103411404874.47867,53395144617.033356,-74641110409.35779
Türkiye,447639001931.73895,223918573973.5739,92413133762.31866,-141808888419.23907,-410143826596.0216
Uganda,38752116172.27991,40169510200.87795,41655732817.09596,43167132182.7745,44694091867.923874
Ukraine,160892270435.86676,166275378475.97867,171648332459.52777,177011151539.92206,182363854834.44083
United Arab Emirates,388356268591.5581,419748704368.76764,453169133697.83405,488748567688.42596,526626480944.014
United Kingdom,2789343367714.3887,2817095420893.058,2843168357705.8037,2867663771780.7495,2890677109902.665
United States,21469243410757.03,21987136954590.492,22506716099872.766,23027986332774.273,23550953157321.42
United States Minor Outlying Islands,10020619511.774742,10576214547.890968,11164161512.097319,11783191153.593561,12434692261.20225
Uruguay,53292736015.26674,52757778247.257645,52117118078.84012,51432962072.92128,50745881863.15828
Uzbekistan,57795605439.06967,54527616410.18282,49831753515.06661,44088724281.69113,37461824968.78782
Vanuatu,902902400.9414878,835666449.5784702,775848402.4381088,782282607.873688,725015356.8664364
Vietnam,310036656361.92194,354478354360.26056,405279672686.65515,463350674919.6516,529731655009.1502
Western Sahara,1819520548047.4338,1885076368977.8584,1989409422387.553,2145332914965.8523,2291257958999.805
Yemen,22722856966.614864,23576348125.559464,25952924793.09777,27787240157.748363,30125874622.042595
Zambia,20982886332.816605,18096905845.791306,9897515146.938683,-6705151198.3111,-12165904610.740063
Zimbabwe,17687232881.07624,17483476495.301086,17263473266.52763,17082077323.641731,16917879289.822714
