Country,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
Brunei Darussalam,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,,,,,,
Bulgaria,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,
Burkina Faso,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,,,,,,
Burundi,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
COD,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,,,
Cabo Verde,Electricity: Distribution Losses,Population: Percentage,,,,,,,
Cambodia,Electricity: Distribution Losses,Electricity: Imports,Population: Density,,,,,,
Cameroon,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,,,,,
Canada,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,,
Central African Republic,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,
Chad,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Chile,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,,,
China,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,,,,,,
Colombia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,,,
Comoros,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Costa Rica,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Percentage,,,
Croatia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,,,
Cyprus,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,,,,,,
Denmark,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,,
Dominica,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,
Dominican Republic,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,,,,,,
Ecuador,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Egypt,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,,,,
El Salvador,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,
Equatorial Guinea,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Estonia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,
Eswatini,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Percentage,,,,
Ethiopia,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Fiji,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Finland,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,
France,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,,,
Gabon,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,,,,,,
Georgia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,,
Germany,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,
Ghana,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Greece,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Density,,,,
Grenada,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Guatemala,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,,,,
Guinea,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,,,,,
Guinea-Bissau,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,
Guyana,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,
Haiti,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,,,,,
Honduras,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,,,,,
Hong Kong,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Population: Growth Rate,,,,
Hungary,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,,
Iceland,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,,,,,
India,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,,,,,
Indonesia,Electricity: Distribution Losses,Electricity: Imports,Population: Percentage,,,,,,
Iran,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
Iraq,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Ireland,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,,
Israel,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,,,,,,
Italy,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,,,
Jamaica,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,,,,,,
Japan,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,
Jordan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,
Kazakhstan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,,,
Kenya,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,,,,,
Kiribati,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Kuwait,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Kyrgyzstan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage
Laos,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,,,,,,
Latvia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,,,
Lebanon,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,,,,
Lesotho,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,
Lithuania,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,
Luxembourg,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,,
Madagascar,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Malawi,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Consumption,Population: Growth Rate,,,,,
Malaysia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,,,,,,
Maldives,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Mali,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,,,,,
Malta,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Growth Rate,Population: Percentage,,
Mauritania,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
Mauritius,Electricity: Distribution Losses,Electricity: Installed Capacity,,,,,,,
Mexico,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,,,,
Moldova,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate
Mongolia,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Population: Percentage,,,,,
Morocco,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,,,,,,
Mozambique,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,,
Myanmar,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,,,,,,
Namibia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Growth Rate,,,
Nepal,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,,,
Netherlands,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,,,
New Zealand,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Population: Percentage,,,,
Nicaragua,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,,,,,
Niger,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
Nigeria,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
North Macedonia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,
Norway,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,
Oman,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Pakistan,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,,,,,,
Panama,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,,,,,
Papua New Guinea,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,,,,,,
Paraguay,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Population: Percentage,,
Peru,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,,,
Philippines,Electricity: Distribution Losses,,,,,,,,
Poland,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,,
Portugal,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,
Puerto Rico,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,,,,,
Republic of the Congo,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,,,,,
Romania,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate
Russia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage
Rwanda,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,,,,,
Saint Kitts and Nevis,Electricity: Distribution Losses,Electricity: Net Consumption,,,,,,,
Saint Lucia,Electricity: Distribution Losses,Electricity: Installed Capacity,,,,,,,
Saint Vincent and the Grenadines,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,,,,,,
Samoa,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Saudi Arabia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,,,,
Senegal,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
Seychelles,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,,,,
Sierra Leone,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,,,
Singapore,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,,,,,,
Slovenia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,,
Solomon Islands,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
South Africa,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,,,
South Korea,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Spain,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,,,,
Sri Lanka,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Sudan,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Suriname,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Percentage,,,,,
Sweden,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Percentage,,
Switzerland,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,
Tajikistan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,,
Tanzania,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,,
Thailand,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,,,,,,
Togo,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,
Tonga,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,,,,,
Trinidad and Tobago,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Tunisia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,,,,
Turkmenistan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Türkiye,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Uganda,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,,,,
Ukraine,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,
United Arab Emirates,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,,,,
United Kingdom,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,,,
United States,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,,,,
United States Minor Outlying Islands,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,,,,,
Uruguay,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Uzbekistan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,,
Vanuatu,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Vietnam,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,,,,,,
Western Sahara,Electricity: Distribution Losses,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,,
Yemen,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Zambia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Zimbabwe,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Population: Percentage
