Country,Forecast_GDP_1,Forecast_GDP_2,Forecast_GDP_3,Forecast_GDP_4,Forecast_GDP_5,Forecast_GDP_6,Forecast_GDP_7,Forecast_GDP_8,Forecast_GDP_9,Forecast_GDP_10
Belize,1688606996.593546,1821218945.3846989,1725011226.1980138,1608180862.7053838,1541242552.4080079,1644172603.402203,1692495412.0534873,1656614840.6816359,1553499001.1639938,1546153274.466094
Benin,16503310789.10239,17385845977.741917,18300262443.29848,19247711885.818657,20229387610.11287,21246526028.71302,22300408219.123947,23392361537.330036,24523761289.589222,25696032464.619946
Bermuda,6978552796.189215,7109350159.219156,7235280214.804898,7356524088.018136,7473256163.799193,7585644337.774708,7693850257.741739,7798029556.165632,7898332074.026036,7994902076.333033
Bhutan,2531763473.3769236,2766599275.8175645,3021528501.240594,3298270417.5044603,3598691399.4076133,3924817515.704362,4278848193.1125298,4663171049.464332,5080377996.036697,5533282717.656751
Bolivia,41885457120.899284,47059291573.7856,54588549388.30693,64625932182.958855,76480151777.07034,91112253940.39037,108961087996.17262,130482799945.98666,156572990314.55798,188143706151.05347
Bosnia and Herzegovina,20430274443.347134,20967961221.873653,21422084146.38777,21832810750.70521,22232914786.90922,22623858301.238453,23001034530.963276,23363619590.353386,23712661498.641117,24048996464.75746
Botswana,15701030161.523636,16367469084.732002,17045274623.796854,17734200144.380783,18434416468.013474,19146108333.447865,19869463800.286003,20604674017.88995,21351933268.4876,22111439018.317173
Brazil,1520831171973.8774,1616698662810.7522,1717285032937.0012,1818571886182.2637,1919489414333.0063,2019755851210.5369,2119300020641.736,2218107000244.784,2316176871994.956,2413513697657.561
Brunei Darussalam,13022654057.42277,14107706411.042078,15265560322.158186,16501100409.247131,17819539024.125793,19226438241.211273,20727733322.149036,22329757754.79963,24039269972.215496,25863481864.326824
Bulgaria,72348744901.37073,74822762902.1589,77311488351.38647,79815008681.33548,82333411844.05206,84866786314.43636,87415221093.35072,89978805710.7465,92557630228.80928,95151785245.12291
Burkina Faso,19720945725.755898,21694160157.385742,23872579797.73388,26277545042.963097,28932615592.104908,31863801244.331795,35099816698.082306,38672362848.12111,42616437336.197105,46970677397.53906
Burundi,2923681780.311875,3252963971.3886647,3642562861.4669285,4028126214.1234,4591364642.147181,4930027781.769421,5680304868.196714,6187666775.019504,6676057331.528575,7228509295.529602
COD,55203149337.68101,58904183582.73985,64682068168.17204,70070808260.14445,76411360497.27182,83075070166.71835,90461149024.3184,98442065595.36816,107170689045.6224,116662164669.77066
Cabo Verde,1835317390.4187112,1930786525.4753418,1983759935.0066545,2034154247.056678,2093688819.0799577,2155470614.7776165,2214856727.25747,2272382019.647674,2329339701.959284,2385934115.0060625
Cambodia,28293954626.94564,31316992050.865707,34698448578.85289,38451928624.5473,42615290575.05029,47232964753.447395,52354491116.103935,58034843131.17969,64334995596.35816,71322576776.59146
Cameroon,41894081963.74273,42992197388.62013,44098862045.37817,45214142492.92684,46338105808.36173,47470819590.99824,48612351966.43725,49762771590.662476,50922147654.16969,52090549886.12808
Canada,1744757809611.7107,1849618186266.8862,1960311947603.1313,2077163604917.4944,2200515722076.4443,2330729919780.639,2468187935696.9624,2613292743565.7246,2766469734563.818,2928167964387.125
Central African Republic,2525445032.440771,2683526835.4066167,2855447068.0347223,3042417141.960864,3245754515.4017606,3466891976.4383082,3707387738.9544144,3968936422.371035,4253380992.542563,4562725747.955404
Chad,11022501198.579231,10952375108.551128,11112898740.511309,11391915980.800577,11545798428.217037,11805004170.125849,12129192241.599966,12389894272.041048,12693227329.231968,13026267136.013674
Chile,268980031180.14954,290284856015.185,314189625414.7779,340105822467.54535,367981600922.0815,397909276618.6677,430025665604.6344,464487208172.1847,501464222671.28406,541140086134.2372
China,16182771651432.596,18333682306973.82,19879446952761.492,22481037717814.57,26412585269322.195,30048255718588.34,34383821467742.387,40578104485729.984,47211528927388.86,54453275749254.25
Colombia,306263858021.66516,346187085279.80707,391953239774.41736,444417457751.61957,504560028136.9802,573504709140.895,652539725573.9238,743141839204.915,847003941914.2733,966066687217.8153
Comoros,1294769703.4070134,1356734141.6187537,1421481148.7338681,1489135590.0264254,1559828022.5787008,1633694865.9768925,1710878665.6654682,1791528368.0258646,1875799607.807589,1963855008.4662797
Costa Rica,69949663216.11516,79229431098.99883,89857168552.05322,102028680253.2658,115968213267.43314,131932588558.1132,150215932638.76855,171155096538.70435,195135861922.44363,222600048703.64133
Croatia,58382822014.66106,59529078184.8206,60643463220.03978,61726863282.82645,62780139896.34028,63804130629.47874,64799649762.91449,65767488936.61399,66708417779.35209,67623184520.72325
Cyprus,24829482207.341778,25090281222.63698,25348537479.41748,25592499152.159332,25819917910.145954,26031093145.14519,26226959586.124474,26408564958.19033,26576930510.919025,26733016770.537727
Denmark,361840434742.18976,367464307167.2465,372959498300.03265,378328952530.77057,383575546878.3218,388702092531.7286,393711336356.48334,398605962366.33246,403388593161.40344,408061791333.42615
Dominica,514404839.16271544,524430316.7691889,534293904.70640606,543998217.1405983,553545826.0248952,562939261.7809744,572181013.9697042,581273531.9509568,590219225.5327673,599020465.6100093
Dominican Republic,83353119369.98491,88048255286.81552,92937843157.12508,98029936328.6508,103332921683.49982,108855533451.68102,114606867596.73294,120596396797.14131,126833986048.22119,133329908910.16072
Ecuador,108737972183.44562,120752881184.85646,134285462438.87471,149443350704.79736,166414195839.54434,185414153612.804,206685772392.40887,230500649504.4068,257162859231.2291,287012831712.21375
Egypt,390825468739.4573,435009633062.9232,494725887287.6648,569179420681.4531,658998717794.3949,765786345626.6738,891902624231.1267,1040383878511.0588,1214941825308.6265,1420015656718.7473
El Salvador,26725010390.11256,28357287514.228504,28931089015.760956,29440476987.369038,30427946723.584618,31586970277.507004,32588384713.82622,33483425684.51929,34435874629.48816,35466604617.75959
Equatorial Guinea,11365419649.67242,12783530347.118757,14280325143.573208,15860169838.862167,17527672469.914116,19287696751.324005,21145376261.66949,23106129416.95721,25175675274.873116,27360050215.93417
Estonia,31634076819.516914,32620774955.859917,33610388469.38028,34602925974.08443,35598396109.43042,36596807540.403145,37598168957.58975,38602489077.255295,39609776641.418594,40620040417.928345
Eswatini,4139705808.7549424,4350186370.546612,4574915064.978808,4807028877.332649,5044988370.347744,5288521335.669491,5537658861.716003,5792506306.913793,6053188922.2994,6319838980.212001
Ethiopia,122542678726.67445,143742810648.18097,169743155161.1655,200810919142.44196,237746719267.23215,281615107862.7874,333706975285.22797,395561449730.5595,469007582290.6143,556217539135.0259
Fiji,4587603235.11573,4644990339.169539,4701149421.156029,4755645294.587606,4808482044.201749,4859705722.503213,4909365134.894165,4957508007.304843,5004180648.778461,5049427958.142916
Finland,270803939362.11118,272063308867.16544,273237352452.02917,274316799952.91656,275307434853.3136,276216336619.63025,277050220461.0755,277815274617.93884,278517179932.56836,279161148761.40216
France,2636081013466.6157,2643032914580.6133,2649854529600.0933,2656196419534.0654,2661995003082.908,2667268417088.7207,2672055793700.0605,2676399413681.9473,2680339658056.5103,2683913761824.99
Gabon,16087774603.747396,16879187868.623302,17691609226.43,18525596337.732677,19381721666.215828,20260572871.632565,21162753213.184807,22088881963.611183,23039594834.26694,24015544411.48759
Georgia,17594985535.85872,19529209927.802906,21668891207.461502,24035853384.95717,26654238657.080013,29550753649.35744,32754941814.41151,36299484764.97298,40220535615.0447,44558087729.17913
Germany,3857405236887.5674,3867858064443.8447,3877798792298.669,3887252508984.5757,3896243073909.2573,3904793177572.234,3912924398831.418,3920657259364.1045,3928011275459.834,3935005007275.848
Ghana,75025216659.39247,82630426725.46205,90993241714.43884,100150046189.45088,110173239108.61774,121144566570.08244,133153698914.00177,146298803312.93265,160687333930.24945,176436909356.83212
Greece,195970175758.54547,202611359481.99152,208792926566.70264,214546685717.78302,219902244254.14865,224887160459.93964,229527085392.143,233845894874.13037,237865812354.31393,241607523262.11932
Grenada,1088160314.4478312,1144724717.6666744,1373036829.7304583,1466436884.4189675,1504478740.4062967,1447161619.537866,1269567591.782524,1213630453.8841388,1236334136.7533734,1416459940.0067859
Guatemala,83873559666.88887,90645379390.88072,97960433265.93106,105862299437.19203,114398051880.72258,123618540838.41028,133578695749.33174,144337852482.2119,155960106818.41193,168514696291.25818
Guinea,15861628119.590696,17519065290.53253,19633120146.35338,20877979594.268867,22784780166.100246,23934940039.256844,25673125823.87787,28273645987.50604,31310872734.147972,33544965104.172203
Guinea-Bissau,1483309555.3294342,1535588306.3146687,1588604760.716603,1642369328.2393858,1696892565.478095,1752185177.99151,1808258022.4041324,1865122108.5378695,1922788601.5737956,1981268824.24442
Guyana,5827301641.728134,6223673200.533722,6646979718.348133,7091726623.530772,7558150752.611069,8047121070.963302,8559698312.98377,9097016736.170172,9660269630.784801,10250708597.7882
Haiti,15422868028.250484,16375285120.718546,17367028746.4416,18399722748.828262,19475058021.881172,20594795278.80272,21760767934.920082,22974885109.649967,24239134752.41835,25555586897.65349
Honduras,25429098717.375553,26246575948.01385,27801189665.71991,30076488067.52612,32055575616.846394,34517928429.07145,37368805412.83287,40249113868.37564,43514898110.458466,47100762044.32226
Hong Kong,352060954557.56836,359618857217.36926,367996510105.3791,376723835287.4678,385626107853.2914,394638608769.25433,403737593095.2377,412914579394.88666,422166773951.859,431493504330.39105
Hungary,159076177200.0405,161037002723.76147,161925960662.1659,162870669444.33588,164020758443.44116,165138987307.30603,166149958425.06665,167098742559.78372,168013623521.20483,168891257409.47513
Iceland,20778727072.350838,19124428007.40251,18313648347.81903,17630943864.52366,16934806990.615673,16514765986.907352,16196224289.809885,15896962308.759007,15675045374.780739,15500415426.36325
India,2896724210950.399,3152819229228.1387,3430157466038.062,3730501057702.23,4055758310691.6772,4407995826518.331,4789451632393.188,5202549401079.605,5649913850291.005,6134387419476.8545
Indonesia,1196574523602.9521,1352860012745.043,1529660830423.2266,1729669988683.9456,1955934006653.46,2211899314806.868,2501464750646.06,2829040945395.4214,3199617506287.3896,3618839017751.5903
Iran,230202330296.93158,259649817648.7541,292135469996.8686,327972671038.65656,367507200568.9923,411120512427.7059,459233415094.8762,512310131913.8059,570862780207.8593,635456312508.3422
Iraq,195661190307.1963,229136305828.26343,267905174365.61615,312804949744.1545,364805173250.82837,425028709380.9565,494775992362.3721,575553107023.6284,669104310369.2318,777449696115.08
Ireland,412314652442.47516,393499855391.66046,373573222466.45447,354480488375.6642,337047467439.1387,321536989885.9782,307939098923.817,296120880354.3266,285902619450.4654,277095456873.72473
Israel,463547729928.8073,493531461872.7723,525367275073.9725,559158542880.4277,595833548774.6931,634536062757.5947,675072984086.7383,716771196412.8921,762012799205.9893,809286559247.7085
Italy,1904778991040.1335,1923507869186.466,1941291973122.1997,1957305684176.1077,1971493791734.8098,1983999730436.1353,1995004566507.613,2004683232675.4282,2013194042462.7173,2020677483504.332
Jamaica,14054572190.070147,14278358349.556086,14485175751.52413,14676311065.053202,14852953396.550535,15016201687.516233,15167071551.36664,15306501591.85033,15435359242.365343,15554446162.505709
Japan,5030908322574.346,4999872589199.125,4977082089427.959,4965861111139.307,4963995558248.283,4967306514023.441,4972042502603.517,4975903447300.396,4978058628821.338,4978668531384.953
Jordan,44739058129.23341,46355336587.805214,48570992046.9701,51205583746.33006,54244803719.86366,57618518446.8829,61315218606.495186,65310610285.40494,69602448914.54898,74187256733.16402
Kazakhstan,196914195440.3034,226528389431.63803,260478789546.87106,299400317119.8209,344020860720.78394,395174888720.1671,453819055047.7419,521050089997.6724,598125310663.1156,686486134575.0328
Kenya,111251792173.60464,124693479714.5029,140156731153.52878,157590557838.86066,177180233709.14108,199179886821.52786,223883632963.20538,251623396811.73383,282772210575.7267,317749009724.9308
Kiribati,213458792.63924652,230740173.51594988,249464047.0242422,269750819.3404027,291730947.05411917,315545776.08566624,341348450.62826663,369304897.96070033,399594895.463121,432413226.69765633
Kuwait,116215964782.4374,127073441885.10803,138567962948.0145,150736905439.55353,163619839887.36252,177258658552.3321,191697711652.34674,206983951578.7215,223167085574.29193,240299737369.63092
Kyrgyzstan,8498868077.041554,9380792566.913065,10361211064.428741,11449388975.238869,12657090325.697868,13997439653.641548,15485006189.954002,17135959522.235325,18968245230.668713,21001779947.644817
Laos,17437317762.925076,15261639401.758373,11598449448.427132,6553803587.310186,-425932223.44957924,-9650295457.459396,-20605361970.301506,-34767827867.04259,-51149670877.678116,-70680981916.32675
Latvia,34073105473.708443,34424701406.8149,34762658993.81173,35087507263.81187,35399754724.979454,35699890160.53391,35988383393.87718,36265686024.041794,36532232132.61106,36788438963.21791
Lebanon,33108491911.205643,35267328651.880394,37930513914.077095,40968632567.27872,44327845754.92953,47992365932.98712,51966016881.891556,56263208726.143906,60904560445.82352,65914819612.36337
Lesotho,1922376310.576987,1981932083.7686946,2043649649.756383,2104542684.8750935,2163774763.6545744,2221145073.1519337,2276639630.4844704,2330298315.178012,2382175507.72688,2432328471.4887085
Lithuania,58263025578.158844,60904027147.58641,62942483289.72928,64548317276.84923,66359118364.39656,68369107641.40785,70318617371.82254,72184232309.1245,74069154187.63464,75993142965.68927
Luxembourg,76278220737.91887,79254034086.90869,82281452495.14867,85361370871.63606,88494699644.43013,91682365029.77591,94925309305.89494,98224491091.52406,101580885629.28436,104995485073.96423
Madagascar,13565385380.082184,14083223932.71035,14609738608.978165,15145074772.959097,15689380224.228315,16242805238.668291,16805502609.95807,17377627691.757694,17959338440.59938,18550795459.497334
Malawi,12088096971.488811,12008025687.904125,11929475314.503202,11853800607.501343,11780738777.867912,11710217867.87199,11642147398.229437,11576442466.106281,11513020837.719007,11451803169.541058
Malaysia,369226317410.8849,404511671452.37213,443153710844.902,485471756078.5751,531815504507.7897,582567920093.407,638148398045.239,699016230516.0453,765674401985.9797,838673745700.8444
Maldives,4044554862.6551757,4366214783.259207,4709058663.649904,5074481642.367998,5463970739.33841,5879110907.017514,6321591480.0583725,6793213049.739647,7295894791.132371,7831682272.821113
Mali,18777116772.08266,20179144874.376892,21677694123.42857,23279409415.83864,24991393109.10984,26821236515.060253,28777053561.367706,30867516770.507732,33101895715.623566,35490098123.84999
Malta,15512406229.03172,16310315621.467838,16766019277.125496,17202971436.63038,17785226487.328835,18412464555.448685,19002890234.36571,19582713250.683502,20189064751.86327,20818085782.89814
Mauritania,8607885261.65109,9367596983.355957,10198996749.656176,11108849199.810402,12104557299.098848,13194222572.650131,14386711023.062567,15691725268.155079,17119883485.792622,18682805808.11643
Mauritius,11616431120.313063,12350958858.786125,13126342121.22324,13944853352.558681,14808891394.489716,15720988515.852316,16683817834.036833,17700201149.193817,18773117214.190014,19905710464.551586
Mexico,1100093379000.2163,1125058165019.8538,1148866419604.5806,1171571720820.673,1193225164649.5293,1213875479974.0015,1233569138237.8127,1252350458024.8364,1270261704793.5806,1287343185991.324
Moldova,13365248892.231932,14994321633.43634,16824959015.634594,18882100566.36979,21193771572.82524,23791464881.862213,26710569940.05229,29990854918.693554,33677008491.998367,37819248649.32033
Mongolia,16598802065.258492,20734189851.691135,25938805349.326202,32489103381.131916,40733017715.43271,51108442348.21924,64166491224.67735,80600771892.20262,101284228020.62334,127315507762.70923
Morocco,117857952189.53465,121481579050.92265,125067061276.0527,128626369371.23978,132190232634.76012,135765431229.21005,139352004485.71344,142949632327.14862,146558263066.33987,150177928491.84286
Mozambique,15253887385.419144,16606107258.859755,18065361292.31842,19639764355.302933,21338396905.140053,23171061267.887375,25148333317.73558,27281623427.22486,29583242312.49322,32066472075.505714
Myanmar,97112626345.6323,118089148067.51694,143581597933.78714,174562187032.4221,212212428807.27774,257968198692.478,313574494405.1813,381151985301.881,463277888805.47046,563084258304.908
Namibia,11221905082.234669,11997725140.838348,12850056237.610392,13758848352.698597,14721743714.326431,15740574852.37971,16818273023.564522,17958166516.005352,19163827948.55834,20439048060.662746
Nepal,38249693744.70656,43496045778.12024,49489317564.855156,56335847588.17517,64157113672.58203,73091888362.05743,83298701158.1144,94958651305.09105,108278621029.87155,123494946248.47238
Netherlands,926786715236.5994,939281365369.6886,951363435052.4419,963046547925.8724,974343877770.6226,985268163361.6088,995831722832.1578,1006046467563.8318,1015923915617.602,1025475204721.5188
New Zealand,220479097433.37958,231433832807.1214,242820031616.45563,254582936379.8393,266728751186.71735,279269391335.38,292217643221.30817,305586751320.6776,319390394324.4643,333642695848.4757
Nicaragua,13000959504.796474,13340633145.941408,13677833667.59187,14009346395.9781,14335551644.690342,14656509126.02169,14972305504.25034,15283023572.660883,15588745013.02438,15889550174.079329
Niger,14877747890.340782,16276223248.03148,17834362211.687443,19551418860.180946,21441160240.63605,23520635724.680748,25808853661.847923,28326762703.434807,31097418519.25952,34146191645.184387
Nigeria,482400230467.51764,537728390140.5441,598822420867.0514,666283196943.2721,740774211117.4512,823028100198.5419,913853850713.1532,1014144755480.0969,1124887199357.333,1247170360571.22
North Macedonia,12504595968.482128,12740967516.507627,12972909366.596508,13200504533.070812,13423834474.530779,13642979123.009697,13858016912.582382,14069024807.437525,14276078329.423943,14479251585.080616
Norway,385809680422.75745,410421943250.08344,436077535748.3956,462820685334.32764,490697494253.18567,519756019054.1431,550046353434.4403,581620714595.4027,614533533259.1466,648841547501.1511
Oman,83653019225.74158,94612156896.60965,107017374373.14528,121059484734.54889,136954479221.73175,154946849545.35593,175313348578.96503,198367247282.98242,224463153338.21732,254002465607.5548
Pakistan,274052793898.9431,271342264169.55615,258611938371.33936,262184369196.89325,246208243569.7382,207986331102.91006,196930299223.15637,198505121158.2909,183526181595.13904,154634333078.35773
Panama,74760429144.99643,86661719450.42618,81765198569.62056,90814588410.45663,121889362406.45172,143655935697.92136,148826048419.38373,170685274428.42453,217432236785.1837,255922549398.182
Papua New Guinea,26416799524.12369,28415934321.24244,30455577453.56273,32476913181.421,35021007378.97641,38296298039.988754,42037807120.621994,46150086508.97652,50697381307.23046,55878718421.236
Paraguay,35310276864.99934,34899261736.172676,36065210346.94725,37043072743.880806,37931509221.238625,39947791890.91078,41900712822.90435,43775867202.361946,46475554634.804825,49202466187.25847
Peru,231639660852.43256,266346954943.64926,307008024450.6696,354644194793.1206,410451992089.3333,475833197519.2683,552430057287.4904,642166532590.6271,747296625706.6804,870460996061.705
Philippines,431394584859.8579,500763713899.6504,559089581712.3477,571564580168.6434,618711930985.1064,721639267325.8458,828696326329.9603,891837874011.7727,940706943396.2566,972641061829.4801
Poland,612528899441.6195,628229928753.8715,643730047825.1272,659031827501.1659,674137805731.2456,689050487989.0465,703772347688.2285,718305826592.6707,732653335221.4617,746817253248.7081
Portugal,231038581059.41354,233424866389.6975,235703214577.16263,237878507865.62613,239955407663.8519,241938364534.425,243831627730.8065,245639254303.00558,247365117791.3813,249012916527.2035
Puerto Rico,104633504640.8245,104006800937.07407,103466162951.25945,104222720855.0214,103850276593.8386,103255374644.82211,103502988464.52994,103250153072.98747,102711139469.37889,102687065709.23352
Republic of the Congo,11608961139.858171,13236979455.105682,15101075186.397419,17235481699.44195,19679396508.350414,22477701122.16203,25681785275.642303,29350490681.019783,33551191632.28111,38361032306.88611
Romania,269929478417.287,284336096768.7584,298281867646.98804,312215659648.20667,326683932998.6886,341946597693.40704,356961935582.57983,371829128562.853,388400234423.91614,405949542334.7686
Russia,1652027058656.0327,1838453224559.8164,2044676835166.5723,2272800271410.1523,2525149175643.1084,2804296160784.8677,3113087037252.47,3454669825048.683,3832526846776.053,4250510228754.4736
Rwanda,11416925141.17072,11309833348.677681,10404552972.966568,10325207079.612083,10780716851.311317,11299608340.34925,9246074239.352745,7653807052.012238,10854403102.175552,11457895230.308952
Saint Kitts and Nevis,976565015.5601552,998176873.1606736,1018741532.8538206,1042790535.8269866,1066496532.8635321,1090543100.3732023,1114384877.1128037,1138125545.1492016,1161688265.4498222,1185089621.5110283
Saint Lucia,1676819189.8651674,1742487499.3755274,1810255464.8175519,1879940620.4003987,1951580896.9036498,2025230078.8974648,2100944429.1102407,2178781851.525846,2258801877.9599485,2341065709.806606
Saint Vincent and the Grenadines,812752843.8820177,820181076.803583,828368144.4853892,836700397.5883098,844911230.5993863,852888882.8027809,860590523.8455526,868003855.6458082,875129957.0409219,881975625.0108618
Samoa,854942435.5865742,901733367.1449555,950047812.9530866,999796287.037978,1051028536.0963998,1103788442.5219047,1158121577.6859884,1214074852.1351225,1271696576.2438335,1331036500.882724
Saudi Arabia,784885948104.1934,880571906200.7426,988581939376.1233,1110503352910.7551,1248127892421.3213,1403478075185.691,1578836912866.4534,1776781462435.4084,2000220698360.2424,2252438262619.479
Senegal,25747967586.763283,27094507302.965908,28302077472.891357,29515915965.515354,30797136272.350674,32122903117.81394,33485090843.03752,34888980877.563896,36337353031.983025,37830902895.861496
Seychelles,1078809130.6797428,1097031071.5435212,1114578142.1216135,1131475337.0019126,1147746725.0693476,1163415483.790344,1178503932.227522,1193033562.8316553,1207025072.0561821,1220498389.8378696
Sierra Leone,4574584350.479688,5283943002.1693125,6144640580.391688,7167480562.392165,8378732963.592854,9812235735.81497,11508592075.85662,13515963875.972597,15891366345.254147,18702272561.76285
Singapore,372494431569.11975,411966726099.9764,456244503429.29047,505571841444.8295,560490291966.0894,621630114322.2656,689695736684.3971,765471664434.2908,849831298274.3998,943746978426.3539
Slovenia,54262120267.448845,54916680359.011826,55553768991.08178,56173852510.29479,56777384815.604195,57364807690.53301,57936551126.55792,58493033637.86153,59034662567.68325,59561834386.49315
Solomon Islands,1656512375.3179493,1828744373.306991,2044347504.5012226,2298211423.779089,2591042451.7392983,2926367726.2020974,3309343189.8797317,3746320782.873557,4244740814.4832067,4813169982.579306
South Africa,341846878031.13965,350310051250.9128,359261372003.1314,368140461755.8429,376754008405.0332,385041839848.1186,392991806452.0293,400608821238.17285,407903609815.79034,414888632865.5337
South Korea,1709968891840.184,1788085706470.4185,1836257129093.088,1877602009133.3635,1931485951560.3726,1990890946216.6436,2046261454886.4075,2099151990536.087,2153982412772.7283,2210778570626.964
Spain,1306146579647.6357,1330106039100.4812,1353383028116.3064,1375996986444.9238,1397966800106.8528,1419310817165.957,1440046863052.808,1460192255451.5735,1479763818762.8594,1498777898154.5889
Sri Lanka,91592761900.27936,104050102779.87344,118266317966.04585,134489746077.46672,153003789107.88214,174131863086.94284,198243047733.71667,225758533794.9155,257158980694.3726,292992913022.24896
Sudan,23392839737.345097,25277479931.73972,26998571494.76793,28570307138.06847,30005647933.113014,31316430192.649235,32513463076.997486,33606617730.09607,34604908680.34154,35516568177.48326
Suriname,2438994234.2697434,2778245209.3582225,2562922026.5828443,2962320062.3033648,2885545827.507121,3329619609.009078,3358269807.3958387,3822610125.730112,3927532117.0561256,4401424097.717997
Sweden,552324423245.568,563463103748.1456,574241813255.486,584658220492.9775,594723990900.7809,604450908769.6088,613850380486.6067,622933429146.2717,631710706787.9348,640192506862.467
Switzerland,793442720268.5542,837013485506.8219,883097393310.8896,931839400638.0543,983392825499.1218,1037919829220.2946,1095591926521.7118,1156590525017.0962,1221107495831.5017,1289345777132.0437
Tajikistan,8053511146.146639,8072961572.48664,7509132906.390197,7077544723.420359,6552934632.946227,6111956615.943444,5203068442.283784,4495886249.814838,3764967924.602566,3103939151.8925967
Tanzania,68914417831.29626,75586883979.23854,82901704926.8354,90887575459.71674,99608242369.4055,109131171033.6003,119530175473.71225,130885850929.9519,143286207737.84558,156827352826.40146
Thailand,535710667703.072,578857840349.2941,626922856047.1631,679462013862.2716,736717603883.2593,799082228884.8601,867006319283.872,940984502572.7883,1021556209906.9717,1109309078106.6582
Togo,8018238996.259757,8488878896.451237,8988204658.88039,9517964708.812445,10080014039.371136,10676320706.931267,11308972722.410427,11980185362.590212,12692308927.068062,13447836968.00127
Tonga,532168339.554894,580149891.6061198,633272079.7714436,692085660.3004624,757200396.2348776,829291379.2641565,909106028.890662,997471841.4696718,1095304969.4642045,1203619719.862009
Trinidad and Tobago,22449195920.011517,23295985798.828632,24128646882.279633,24947414911.087803,25752521692.612873,26544195166.4797,27322659469.111897,28088134997.18874,28840838470.04325,29580982991.01919
Tunisia,42401302147.412964,43237575970.12534,44079359285.58281,45046104188.078735,46103213883.98746,47142486598.07871,48164872603.05231,49189044384.419586,50195929735.47058,51169260836.65619
Turkmenistan,54553526530.67543,65804906060.90355,79384847173.58678,95775264022.33786,115557806689.25096,139434502320.58002,168252668107.96548,203034980207.2803,245015765656.9813,295684805194.7107
Türkiye,768762872460.8999,819439387089.7153,872055893875.1836,926686659360.603,983408793152.0305,1042302356756.0642,1103450476584.1404,1166939461282.846,1232858923555.8582,1301301906649.4539
Uganda,38752116172.27999,40169510200.878136,41655732817.09625,43167132182.7749,44694091867.92439,46234559105.24777,47788162547.53725,49354905188.98037,50934873927.11748,52528175031.108925
Ukraine,160892270435.8668,166275378475.97876,171648332459.5279,177011151539.9222,182363854834.44104,187706461424.30307,193038990354.7345,198361460635.03687,203673891238.6548,208976301103.24365
